Time,AvgFiringRate
-0.5,1.832524272
-0.494976077,1.777912621
-0.489952153,1.910059331
-0.48492823,1.856796117
-0.479904306,1.763754045
-0.474880383,1.914778857
-0.469856459,2.017934196
-0.464832536,2.046925566
-0.459808612,1.883090615
-0.454784689,2.079962244
-0.449760766,2.043554477
-0.444736842,2.156148867
-0.439712919,1.930960086
-0.434688995,2.034115426
-0.429665072,2.004449838
-0.424641148,2.001752967
-0.419617225,2.038834951
-0.414593301,1.974110032
-0.409569378,1.992313916
-0.404545455,1.943770227
-0.399521531,2.021305286
-0.394497608,2.070523193
-0.389473684,2.063106796
-0.384449761,1.986245955
-0.379425837,2.09074973
-0.374401914,2.131877023
-0.36937799,1.982200647
-0.364354067,2.140641855
-0.359330144,2.116370011
-0.35430622,2.174352751
-0.349282297,2.109627832
-0.344258373,1.966019417
-0.33923445,1.92961165
-0.334210526,2.177049622
-0.329186603,2.209412082
-0.324162679,2.092772384
-0.319138756,2.257281553
-0.314114833,2.187837109
-0.309090909,2.231661273
-0.304066986,2.212108954
-0.299043062,2.081984898
-0.294019139,2.218176915
-0.288995215,2.212108954
-0.283971292,2.203344121
-0.278947368,2.154800431
-0.273923445,2.039509169
-0.268899522,2.086030205
-0.263875598,2.139967638
-0.258851675,2.133225458
-0.253827751,2.040857605
-0.248803828,2.253910464
-0.243779904,2.044902913
-0.238755981,1.968716289
-0.233732057,1.989617044
-0.228708134,2.170307443
-0.223684211,2.147384035
-0.218660287,2.100188781
-0.213636364,2.206040992
-0.20861244,2.16828479
-0.203588517,2.348975189
-0.198564593,2.354368932
-0.19354067,2.366504854
-0.188516746,2.208063646
-0.183492823,2.388079827
-0.1784689,2.303128371
-0.173444976,2.480447681
-0.168421053,2.392799353
-0.163397129,2.266046386
-0.158373206,2.431903991
-0.153349282,2.328074434
-0.148325359,2.420442287
-0.143301435,2.072545847
-0.138277512,2.301779935
-0.133253589,2.26469795
-0.128229665,2.295037756
-0.123205742,2.277508091
-0.118181818,2.251213592
-0.113157895,2.225593312
-0.108133971,2.163565264
-0.103110048,2.096817691
-0.098086124,2.267394822
-0.093062201,2.024002157
-0.088038278,2.194579288
-0.083014354,2.199973031
-0.077990431,2.160194175
-0.072966507,2.240426106
-0.067942584,2.153451996
-0.06291866,2.201995685
-0.057894737,2.212783172
-0.052870813,2.324703344
-0.04784689,2.141990291
-0.042822967,2.288969795
-0.037799043,2.218851133
-0.03277512,2.23907767
-0.027751196,2.146035599
-0.022727273,2.180420712
-0.017703349,2.301105717
-0.012679426,2.102211435
-0.007655502,2.360436893
-0.002631579,2.195927724
0.002392344,2.321332255
0.007416268,2.378640777
0.012440191,2.189859763
0.017464115,2.253910464
0.022488038,2.2552589
0.027511962,2.291666667
0.032535885,2.202669903
0.037559809,2.105582524
0.042583732,2.453478964
0.047607656,2.431229773
0.052631579,2.29368932
0.057655502,2.277508091
0.062679426,2.441343042
0.067703349,2.398867314
0.072727273,2.396170442
0.077751196,2.377292341
0.08277512,2.709007551
0.087799043,2.712378641
0.092822967,2.95105178
0.09784689,3.232874865
0.102870813,3.696736785
0.107894737,4.222626753
0.11291866,4.744471413
0.117942584,5.281823085
0.122966507,5.629719525
0.127990431,6.553398058
0.133014354,6.858144552
0.138038278,7.919363538
0.143062201,8.021170442
0.148086124,8.294902913
0.153110048,8.757416397
0.158133971,8.841019417
0.163157895,8.632011866
0.168181818,8.2153452
0.173205742,8.312432578
0.178229665,8.26995685
0.183253589,8.140507012
0.188277512,7.524946063
0.193301435,7.402238403
0.198325359,7.311893204
0.203349282,7.181769148
0.208373206,6.89118123
0.213397129,7.121763754
0.218421053,7.183791802
0.223444976,6.703748652
0.2284689,6.500809061
0.233492823,6.722626753
0.238516746,6.566208198
0.24354067,6.740830636
0.248564593,6.731391586
0.253588517,6.600593312
0.25861244,6.290453074
0.263636364,6.164374326
0.268660287,6.455636462
0.273684211,6.269552319
0.278708134,6.399002157
0.283732057,6.170442287
0.288755981,6.361920173
0.293779904,6.419902913
0.298803828,6.310005394
0.303827751,6.08886192
0.308851675,6.179881338
0.313875598,6.237864078
0.318899522,6.18864617
0.323923445,6.380124056
0.328947368,5.953344121
0.333971292,6.103020496
0.338995215,6.154935275
0.344019139,6.024137001
0.349043062,6.113807983
0.354066986,5.8697411
0.359090909,5.94390507
0.364114833,5.883225458
0.369138756,5.834007551
0.374162679,6.033576052
0.379186603,5.907497303
0.384210526,5.739617044
0.38923445,5.93109493
0.394258373,5.978290183
0.399282297,5.948624595
0.40430622,5.632416397
0.409330144,5.751078749
0.414354067,5.584546926
0.41937799,5.990426106
0.424401914,5.960760518
0.429425837,5.88929342
0.434449761,5.824568501
0.439473684,5.689724919
0.444497608,5.678937433
0.449521531,5.546790723
0.454545455,5.631742179
0.459569378,5.70860302
0.464593301,5.469255663
0.469617225,5.442961165
0.474641148,5.116639698
0.479665072,5.335760518
0.484688995,5.075512406
0.489712919,5.128101402
0.494736842,5.224514563
0.499760766,5.126752967
0.504784689,5.163160734
0.509808612,4.827400216
0.514832536,4.840210356
0.519856459,4.790318231
0.524880383,4.94201726
0.529904306,4.842907228
0.53492823,4.598166127
0.539952153,4.906283711
0.544976077,4.745145631
0.55,4.746494067
